序号,大包号,客户来源,创建时间(UTC+08:00),来源仓,计费重,预计件数,实际件数,渠道,状态,目的国,起运港,目的港,MBL提单号,分单号,业务编号,箱号,封号,装箱时间(UTC+08:00),装箱人,仓干交接时间(UTC+08:00),仓干交接人,清关口岸,提单收件人,批次号,车牌号
1,KRV2VDIR00000041,AE海运,2026-05-14 17:23:34,TRAN_STORE_30320880,400.000,1,1,L_AE_EXPRESS_XTWSEA_ACT_V2V,已装箱,韩国,,,,,,*TEST20260515,,2026-05-15 11:04:43,蔡荧琳,,,,,D000486-W260514-0004,
2,KRV2VDIR00000031,AE海运,2026-05-14 17:22:52,TRAN_STORE_30320880,400.000,1,1,L_AE_EXPRESS_XTWSEA_ACT_V2V,已装箱,韩国,,,,,,*TEST20260515,,2026-05-15 11:04:43,蔡荧琳,,,,,D000486-W260514-0003,
3,KRV2VDIR00000021,AE海运,2026-05-14 14:36:59,TRAN_STORE_30320880,400.000,1,1,L_AE_EXPRESS_XTWSEA_ACT_V2V,已装箱,韩国,,,,,,*TEST20260515,,2026-05-15 11:04:43,蔡荧琳,,,,,D000486-W260514-0002,
4,KRRM04321276,AE海运,2026-05-14 11:32:47,威海心怡优选分拨仓,27400.000,43,43,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 14:24:03,韩龙盼,2026-05-14 11:33:10,崔言芹,,,D001563-W260514-0018,LFCE621
5,KRRM04321451,AE海运,2026-05-14 11:32:46,威海心怡优选分拨仓,6811.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 14:24:08,韩龙盼,2026-05-14 11:33:12,崔言芹,,,D001563-W260514-0018,LFCE621
6,KRRM04321285,AE海运,2026-05-14 11:32:46,威海心怡优选分拨仓,3370.000,4,4,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 14:24:01,韩龙盼,2026-05-14 11:33:14,崔言芹,,,D001563-W260514-0018,LFCE621
7,KRRM04320300,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,17850.000,20,20,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:11:22,韩龙盼,2026-05-14 10:35:17,谭业臣,,,D001563-W260514-0013,LFCE621
8,KRRM04320550,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,3850.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:02:29,韩龙盼,2026-05-14 10:58:01,崔言芹,,,D001563-W260514-0013,LFCE621
9,KRRM04320345,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,19940.000,11,11,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:01:17,韩龙盼,2026-05-14 10:36:34,谭业臣,,,D001563-W260514-0013,LFCE621
10,KRRM04320444,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,5690.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 14:59:05,韩龙盼,2026-05-14 11:03:47,崔言芹,,,D001563-W260514-0013,LFCE621
11,KRRM04320543,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,3890.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:10:17,韩龙盼,2026-05-14 10:47:51,崔言芹,,,D001563-W260514-0013,LFCE621
12,KRRM04320430,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,24740.000,62,62,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:01:07,韩龙盼,2026-05-14 10:36:23,谭业臣,,,D001563-W260514-0013,LFCE621
13,KRRM04320296,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,21120.000,20,20,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 14:57:52,韩龙盼,2026-05-14 10:36:43,谭业臣,,,D001563-W260514-0013,LFCE621
14,KRRM04320530,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,5860.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:03:07,韩龙盼,2026-05-14 10:58:30,崔言芹,,,D001563-W260514-0013,LFCE621
15,KRRM04320917,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,3920.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:10:28,韩龙盼,2026-05-14 10:47:05,谭业臣,,,D001563-W260514-0013,LFCE621
16,KRRM04320531,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,7170.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:49:26,韩龙盼,2026-05-14 11:02:19,谭业臣,,,D001563-W260514-0013,LFEF086
17,KRRM04320525,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,2880.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:14:20,韩龙盼,2026-05-14 10:38:32,崔言芹,,,D001563-W260514-0013,LFCE621
18,KRRM04320526,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,3240.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:39:35,韩龙盼,2026-05-14 11:08:29,谭业臣,,,D001563-W260514-0013,LFEF086
19,KRRM04320535,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,5580.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:12:48,韩龙盼,2026-05-14 10:44:41,崔言芹,,,D001563-W260514-0013,LFCE621
20,KRRM04320521,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,3570.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:13:05,韩龙盼,2026-05-14 10:44:16,崔言芹,,,D001563-W260514-0013,LFCE621
21,KRRM04320910,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,3540.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:42:14,韩龙盼,2026-05-14 11:04:45,谭业臣,,,D001563-W260514-0013,LFEF086
22,KRRM04320432,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,17810.000,18,18,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:03:23,韩龙盼,2026-05-14 10:36:28,谭业臣,,,D001563-W260514-0013,LFCE621
23,KRRM04320515,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,24020.000,43,43,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:06:26,韩龙盼,2026-05-14 10:36:14,谭业臣,,,D001563-W260514-0013,LFCE621
24,KRRM04320470,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,25000.000,20,20,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 14:57:39,韩龙盼,2026-05-14 10:36:41,谭业臣,,,D001563-W260514-0013,LFCE621
25,KRRM04320913,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,7950.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:09:51,韩龙盼,2026-05-14 10:52:17,崔言芹,,,D001563-W260514-0013,LFCE621
26,KRRM04320506,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,19130.000,42,42,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:01:02,韩龙盼,2026-05-14 10:36:25,谭业臣,,,D001563-W260514-0013,LFCE621
27,KRRM04320501,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,19900.000,14,14,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:03:18,韩龙盼,2026-05-14 10:36:35,谭业臣,,,D001563-W260514-0013,LFCE621
28,KRRM04320866,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,4990.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:50:04,韩龙盼,2026-05-14 11:02:06,谭业臣,,,D001563-W260514-0013,LFEF086
29,KRRM04320912,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,2640.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 14:59:22,韩龙盼,2026-05-14 11:02:19,崔言芹,,,D001563-W260514-0013,LFCE621
30,KRRM04320865,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,4050.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:37:33,韩龙盼,2026-05-14 11:12:32,谭业臣,,,D001563-W260514-0013,LFEF086
31,KRRM04320965,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,4260.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:08:06,韩龙盼,2026-05-14 10:54:14,崔言芹,,,D001563-W260514-0013,LFCE621
32,KRRM04320547,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,26540.000,57,57,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:11:15,韩龙盼,2026-05-14 10:35:24,崔言芹,,,D001563-W260514-0013,LFCE621
33,KRRM04320831,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,5530.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:05:08,韩龙盼,2026-05-14 10:55:39,崔言芹,,,D001563-W260514-0013,LFCE621
34,KRRM04320556,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,23260.000,16,16,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:03:35,韩龙盼,2026-05-14 10:36:30,谭业臣,,,D001563-W260514-0013,LFCE621
35,KRRM04320954,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,9364.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:12:53,韩龙盼,2026-05-14 10:38:08,谭业臣,,,D001563-W260514-0013,LFCE621
36,KRRM04320425,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,19680.000,28,28,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:00:38,韩龙盼,2026-05-14 10:36:38,谭业臣,,,D001563-W260514-0013,LFCE621
37,KRRM04320789,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,6410.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:38:14,韩龙盼,2026-05-14 11:05:41,谭业臣,,,D001563-W260514-0013,LFEF086
38,KRRM04320388,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,21600.000,24,24,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:00:43,韩龙盼,2026-05-14 10:36:40,谭业臣,,,D001563-W260514-0013,LFCE621
39,KRRM04320334,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,27620.000,78,78,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 14:57:59,韩龙盼,2026-05-14 10:36:37,谭业臣,,,D001563-W260514-0013,LFCE621
40,KRRM04320391,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,13800.000,8,8,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 14:57:45,韩龙盼,2026-05-14 10:36:43,崔言芹,,,D001563-W260514-0013,LFCE621
41,KRRM04320549,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,11520.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:45:20,韩龙盼,2026-05-14 10:59:39,谭业臣,,,D001563-W260514-0013,LFEF086
42,KRRM04320804,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,3970.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:53:46,韩龙盼,2026-05-14 11:02:53,谭业臣,,,D001563-W260514-0013,LFEF086
43,KRRM04320839,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,6320.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:07:41,韩龙盼,2026-05-14 10:53:19,崔言芹,,,D001563-W260514-0013,LFCE621
44,KRRM04320544,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,6870.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:01:46,韩龙盼,2026-05-14 10:58:08,崔言芹,,,D001563-W260514-0013,LFCE621
45,KRRM04320796,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,24180.000,71,71,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:13:38,韩龙盼,2026-05-14 10:35:04,谭业臣,,,D001563-W260514-0013,LFCE621
46,KRRM04320837,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,3790.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:04:48,韩龙盼,2026-05-14 10:56:15,崔言芹,,,D001563-W260514-0013,LFCE621
47,KRRM04320558,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,12000.000,9,9,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:06:28,韩龙盼,2026-05-14 10:36:20,谭业臣,,,D001563-W260514-0013,LFCE621
48,KRRM04320517,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,8060.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:02:50,韩龙盼,2026-05-14 10:57:32,崔言芹,,,D001563-W260514-0013,LFCE621
49,KRRM04320953,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,5090.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:12:21,韩龙盼,2026-05-14 10:46:06,崔言芹,,,D001563-W260514-0013,LFCE621
50,KRRM04320791,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,3840.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:04:36,韩龙盼,2026-05-14 10:56:14,崔言芹,,,D001563-W260514-0013,LFCE621
51,KRRM04320536,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,28200.000,26,26,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:08:40,韩龙盼,2026-05-14 10:35:22,谭业臣,,,D001563-W260514-0013,LFCE621
52,KRRM04320916,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,3390.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:06:17,韩龙盼,2026-05-14 10:52:56,崔言芹,,,D001563-W260514-0013,LFCE621
53,KRRM04320479,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,14830.000,17,17,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:08:17,韩龙盼,2026-05-14 10:36:05,谭业臣,,,D001563-W260514-0013,LFCE621
54,KRRM04320783,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,2300.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:06:08,韩龙盼,2026-05-14 10:54:06,崔言芹,,,D001563-W260514-0013,LFCE621
55,KRRM04320829,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,5130.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:04:35,韩龙盼,2026-05-14 10:53:45,崔言芹,,,D001563-W260514-0013,LFCE621
56,KRRM04320918,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,5010.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:37:37,韩龙盼,2026-05-14 11:12:19,谭业臣,,,D001563-W260514-0013,LFEF086
57,KRRM04320914,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,4490.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:04:59,韩龙盼,2026-05-14 10:55:02,崔言芹,,,D001563-W260514-0013,LFCE621
58,KRRM04320483,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,16560.000,22,22,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:00:52,韩龙盼,2026-05-14 10:36:26,谭业臣,,,D001563-W260514-0013,LFCE621
59,KRRM04320692,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,3940.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:44:45,韩龙盼,2026-05-14 11:06:16,谭业臣,,,D001563-W260514-0013,LFEF086
60,KRRM04320528,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,23500.000,29,29,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:09:07,韩龙盼,2026-05-14 10:35:34,崔言芹,,,D001563-W260514-0013,LFCE621
61,KRRM04320532,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,4990.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:00:13,韩龙盼,2026-05-14 11:01:29,崔言芹,,,D001563-W260514-0013,LFCE621
62,KRRM04320533,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,2140.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:14:26,韩龙盼,2026-05-14 10:39:40,崔言芹,,,D001563-W260514-0013,LFCE621
63,KRRM04320907,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,2430.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:47:48,韩龙盼,2026-05-14 11:02:49,谭业臣,,,D001563-W260514-0013,LFEF086
64,KRRM04320541,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,4680.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:10:26,韩龙盼,2026-05-14 10:48:05,崔言芹,,,D001563-W260514-0013,LFCE621
65,KRRM04320540,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,4510.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:47:16,韩龙盼,2026-05-14 11:01:59,谭业臣,,,D001563-W260514-0013,LFEF086
66,KRRM04320529,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,3240.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:14:05,韩龙盼,2026-05-14 10:39:05,谭业臣,,,D001563-W260514-0013,LFCE621
67,KRRM04320448,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,6220.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:08:02,韩龙盼,2026-05-14 10:50:32,谭业臣,,,D001563-W260514-0013,LFCE621
68,KRRM04320437,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,18450.000,12,12,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:06:32,韩龙盼,2026-05-14 10:36:11,谭业臣,,,D001563-W260514-0013,LFCE621
69,KRRM04320538,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,5260.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:10:24,韩龙盼,2026-05-14 10:48:06,崔言芹,,,D001563-W260514-0013,LFCE621
70,KRRM04320442,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,2750.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:13:07,韩龙盼,2026-05-14 10:38:46,谭业臣,,,D001563-W260514-0013,LFCE621
71,KRRM04320795,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,7560.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:09:30,韩龙盼,2026-05-14 10:49:03,崔言芹,,,D001563-W260514-0013,LFCE621
72,KRRM04320523,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,2840.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:07:48,韩龙盼,2026-05-14 10:49:23,谭业臣,,,D001563-W260514-0013,LFCE621
73,KRRM04320828,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,10730.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:42:29,韩龙盼,2026-05-14 11:05:54,谭业臣,,,D001563-W260514-0013,LFEF086
74,KRRM04320784,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,17630.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 14:56:25,韩龙盼,2026-05-14 11:04:14,崔言芹,,,D001563-W260514-0013,LFCE621
75,KRRM04320446,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,2430.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 14:57:29,韩龙盼,2026-05-14 11:08:53,崔言芹,,,D001563-W260514-0013,LFCE621
76,KRRM04320496,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,4570.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:05:39,韩龙盼,2026-05-14 10:51:22,谭业臣,,,D001563-W260514-0013,LFCE621
77,KRRM04320827,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,1750.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:06:12,韩龙盼,2026-05-14 10:55:48,崔言芹,,,D001563-W260514-0013,LFCE621
78,KRRM04320960,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,3940.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:07:05,韩龙盼,2026-05-14 10:54:46,崔言芹,,,D001563-W260514-0013,LFCE621
79,KRRM04320481,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,22410.000,32,32,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:03:52,韩龙盼,2026-05-14 10:36:35,崔言芹,,,D001563-W260514-0013,LFCE621
80,KRRM04320516,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,16940.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:02:59,韩龙盼,2026-05-14 10:51:30,崔言芹,,,D001563-W260514-0013,LFCE621
81,KRRM04320857,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,3740.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:07:51,韩龙盼,2026-05-14 10:52:22,崔言芹,,,D001563-W260514-0013,LFCE621
82,KRRM04320854,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,4780.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:09:19,韩龙盼,2026-05-14 10:48:21,崔言芹,,,D001563-W260514-0013,LFCE621
83,KRRM04320498,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,4380.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:09:56,韩龙盼,2026-05-14 10:49:16,崔言芹,,,D001563-W260514-0013,LFCE621
84,KRRM04320812,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,3560.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:12:33,韩龙盼,2026-05-14 10:44:12,崔言芹,,,D001563-W260514-0013,LFCE621
85,KRRM04320855,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,3187.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:12:28,韩龙盼,2026-05-14 10:38:01,谭业臣,,,D001563-W260514-0013,LFCE621
86,KRRM04320806,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,27220.000,54,54,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:10:50,韩龙盼,2026-05-14 10:35:30,崔言芹,,,D001563-W260514-0013,LFCE621
87,KRRM04320712,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,4160.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:12:31,韩龙盼,2026-05-14 10:43:46,崔言芹,,,D001563-W260514-0013,LFCE621
88,KRRM04320863,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,4230.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:03:02,韩龙盼,2026-05-14 10:56:19,谭业臣,,,D001563-W260514-0013,LFCE621
89,KRRM04320820,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,6160.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:11:54,韩龙盼,2026-05-14 10:45:53,崔言芹,,,D001563-W260514-0013,LFCE621
